node,closeness,betweenness,farness,eccentricity,clustering,degree
political,ALTO,ALTO,BAJO,MEDIO,BAJO,ALTO
state,ALTO,ALTO,BAJO,MEDIO,BAJO,ALTO
new,ALTO,ALTO,BAJO,MEDIO,BAJO,ALTO
social,ALTO,ALTO,BAJO,MEDIO,BAJO,ALTO
government,MEDIO,MEDIO,MEDIO,MEDIO,MEDIO,MEDIO
policy,MEDIO,MEDIO,MEDIO,MEDIO,MEDIO,MEDIO
development,MEDIO,MEDIO,MEDIO,ALTO,MEDIO,MEDIO
economic,MEDIO,MEDIO,MEDIO,ALTO,MEDIO,MEDIO
national,MEDIO,MEDIO,MEDIO,ALTO,MEDIO,MEDIO
party,MEDIO,MEDIO,MEDIO,ALTO,MEDIO,MEDIO
time,MEDIO,MEDIO,MEDIO,ALTO,MEDIO,MEDIO
society,MEDIO,MEDIO,MEDIO,MEDIO,MEDIO,MEDIO
first,MEDIO,MEDIO,MEDIO,MEDIO,MEDIO,MEDIO
well,MEDIO,MEDIO,MEDIO,MEDIO,ALTO,BAJO
public,BAJO,MEDIO,ALTO,ALTO,ALTO,MEDIO
